image_id,file_name,dice,pred_data
1,cju32qr9tbvsj08013pkpjenq.jpg,0.8790646244573675,"{'height': 546, 'width': 615, 'bbox': [{'label': 'polyp', 'xmin': 209.29554748535156, 'ymin': 111.76274871826172, 'xmax': 421.936767578125, 'ymax': 306.2166442871094}]}"
2,cju8aqq8uqmoq0987hphto9gg.jpg,0.8898527234161764,"{'height': 546, 'width': 626, 'bbox': [{'label': 'polyp', 'xmin': 238.01478576660156, 'ymin': 83.12029266357422, 'xmax': 558.7232055664062, 'ymax': 545.7115478515625}]}"
3,cju2xf8e5y2wm08359vcgk09b.jpg,0.9831985590724028,"{'height': 530, 'width': 571, 'bbox': [{'label': 'polyp', 'xmin': 254.75709533691406, 'ymin': 126.28243255615234, 'xmax': 570.931396484375, 'ymax': 524.5374755859375}]}"
4,cju1hs0za7jha0855vj0mdrjt.jpg,0.9788746966647228,"{'height': 531, 'width': 571, 'bbox': [{'label': 'polyp', 'xmin': 184.9529266357422, 'ymin': 182.55833435058594, 'xmax': 429.4915771484375, 'ymax': 470.8091735839844}]}"
5,cju88fpm4o0tl0871w1i6a4ds.jpg,0.8949887808526552,"{'height': 423, 'width': 611, 'bbox': [{'label': 'polyp', 'xmin': 311.6679992675781, 'ymin': 45.25636291503906, 'xmax': 411.5466613769531, 'ymax': 168.35462951660156}]}"
6,cju32jcdabepz0878d0cznmfe.jpg,0.974276321407224,"{'height': 530, 'width': 622, 'bbox': [{'label': 'polyp', 'xmin': 320.8167724609375, 'ymin': 114.24069213867188, 'xmax': 548.533935546875, 'ymax': 389.1351623535156}]}"
7,cju41s6nbleqy0755e2mslg0b.jpg,0.9599526898412523,"{'height': 530, 'width': 561, 'bbox': [{'label': 'polyp', 'xmin': 241.26866149902344, 'ymin': 112.81175994873047, 'xmax': 434.5473937988281, 'ymax': 294.9327087402344}]}"
8,cju2yo1j1v0qz09934o0e683p.jpg,0.76767899146032,"{'height': 546, 'width': 626, 'bbox': [{'label': 'polyp', 'xmin': 282.03094482421875, 'ymin': 155.75741577148438, 'xmax': 570.7739868164062, 'ymax': 505.0762634277344}]}"
9,cju3tx1qyg0c907552fglumhc.jpg,0.9659825269581367,"{'height': 529, 'width': 622, 'bbox': [{'label': 'polyp', 'xmin': 188.06016540527344, 'ymin': 0.0, 'xmax': 420.5509948730469, 'ymax': 157.18418884277344}]}"
10,cju2qozsk20cq0855ugrg3cri.jpg,0.9427880057169542,"{'height': 546, 'width': 626, 'bbox': [{'label': 'polyp', 'xmin': 369.25872802734375, 'ymin': 216.4686737060547, 'xmax': 578.3169555664062, 'ymax': 451.558349609375}]}"
11,cju77b3wyz4160755qis4ljsb.jpg,0.9043287582230163,"{'height': 530, 'width': 571, 'bbox': [{'label': 'polyp', 'xmin': 229.2276153564453, 'ymin': 297.23443603515625, 'xmax': 347.8019104003906, 'ymax': 435.0438232421875}]}"
12,cju2rqo702wpx0855fn7d5cxh.jpg,0.9350091647028018,"{'height': 529, 'width': 621, 'bbox': [{'label': 'polyp', 'xmin': 332.1207580566406, 'ymin': 188.6409454345703, 'xmax': 448.7435607910156, 'ymax': 301.8450927734375}]}"
13,cju77q10sz9ug0801449wu1nu.jpg,0.9519121544869368,"{'height': 528, 'width': 608, 'bbox': [{'label': 'polyp', 'xmin': 402.0526123046875, 'ymin': 101.08325958251953, 'xmax': 512.2068481445312, 'ymax': 217.85879516601562}, {'label': 'polyp', 'xmin': 291.63250732421875, 'ymin': 0.2263176441192627, 'xmax': 531.8143920898438, 'ymax': 260.45416259765625}, {'label': 'polyp', 'xmin': 292.0641784667969, 'ymin': 1.0108330249786377, 'xmax': 391.693603515625, 'ymax': 74.26659393310547}]}"
14,cju45rj7ln8980850a7821fov.jpg,0.9530368716379822,"{'height': 546, 'width': 585, 'bbox': [{'label': 'polyp', 'xmin': 56.102142333984375, 'ymin': 107.83611297607422, 'xmax': 154.205078125, 'ymax': 223.01368713378906}, {'label': 'polyp', 'xmin': 355.4931335449219, 'ymin': 283.1329345703125, 'xmax': 519.6422729492188, 'ymax': 502.43316650390625}]}"
15,cju2y8s56ymqr083541ggdsml.jpg,0.943521818059571,"{'height': 530, 'width': 615, 'bbox': [{'label': 'polyp', 'xmin': 325.35205078125, 'ymin': 219.24453735351562, 'xmax': 498.3285827636719, 'ymax': 466.61175537109375}]}"
